planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
HD 4113 b,3,1,Radial Velocity,2007,526.62,495.79,5688,0.99,0.086,41.8727
HD 42012 b,1,1,Radial Velocity,2017,857.5,508.528,5405,0.83,-0.27,36.7984
HD 4203 b,1,2,Radial Velocity,2001,431.88,708.7609,5596,1.25,0.293,81.3795
HD 4203 c,1,2,Radial Velocity,2014,6700,689.66,5582,0.99,0.293,81.3795
HD 4208 b,1,1,Radial Velocity,2001,832.97,257.4423,5717,0.88,-0.1,34.1937
HD 42618 b,1,1,Radial Velocity,2016,149.61,14.4,5727,1.01,-0.009,24.3358
HD 4308 b,1,1,Radial Velocity,2005,15.56,15.8915,5686,0.93,-0.004,22.0158
HD 4313 b,1,1,Radial Velocity,2009,356.21,612.45841,4943,1.63,1.149,136.308
HD 43197 b,1,1,Radial Velocity,2010,327.8,190.69,5508,0.96,-0.137,62.4112
HD 43691 b,3,1,Radial Velocity,2007,36.9987,810.4665,6093,1.32,0.5,85.6009
HD 44219 b,1,1,Radial Velocity,2010,472.3,184.33,5752,1,0.26,52.9051
HD 45184 b,1,2,Radial Velocity,2019,5.8854,12.19,5869,1.03,0.053,21.9532
HD 45184 c,1,2,Radial Velocity,2019,13.1354,8.81,5869,1.03,0.053,21.9532
HD 45350 b,1,1,Radial Velocity,2004,963.6,568.89,5566,0.98,0.141,46.8733
HD 45364 b,1,2,Radial Velocity,2008,226.93,59.4953,5434,0.82,-0.244,34.354
HD 45364 c,1,2,Radial Velocity,2008,342.85,209.0915,5434,0.82,-0.244,34.354
HD 45652 b,1,1,Radial Velocity,2008,44.073,137.62039,5294,0.92,-0.2,34.8541
HD 46375 b,2,1,Radial Velocity,2000,3.023573,71.8,5285,0.92,-0.245,29.5529
HD 47186 b,1,2,Radial Velocity,2008,4.0845,22.2481,5657,0.96,0.043,37.4574
HD 47186 c,1,2,Radial Velocity,2008,1353.6,111.42,5657,0.96,0.043,37.4574
HD 4732 b,2,2,Radial Velocity,2012,360.2,753.23,4959,1.74,1.19,54.7841
HD 4732 c,2,2,Radial Velocity,2012,2732,753.23,4959,1.74,1.19,54.7841
HD 47366 b,1,2,Radial Velocity,2016,359.15,731.009,4914,2.19,1.389,84.3552
HD 47366 c,1,2,Radial Velocity,2016,682.85,597.5204,4914,2.19,1.389,84.3552
HD 47536 b,1,1,Radial Velocity,2002,712.13,2330,4380,2.1,2.248,122.536
HD 4760 b,1,1,Radial Velocity,2021,434,4417.837,4076,1.05,2.93,537.873
HD 48265 b,1,1,Radial Velocity,2008,778.51,484.69075,5733,1.31,0.584,90.5446
HD 4917 b,1,1,Radial Velocity,2018,400.5,513.29545,4802,1.32,1.456,204.277
HD 49674 b,1,1,Radial Velocity,2002,4.94737,31.783,5602,1.03,-0.022,43.0399
HD 50499 b,1,2,Radial Velocity,2005,2447.1,519.96988,6102,1.25,0.376,46.2845
HD 50499 c,1,2,Radial Velocity,2019,8619.9,931.2419,6099,1.31,0.376,46.2845
HD 50554 b,1,1,Radial Velocity,2002,1293,1574.464,5987,1.04,0.143,31.1664
HD 51608 b,1,2,Radial Velocity,2019,14.0726,12.77,5358,0.8,-0.244,35.0553
HD 51608 c,1,2,Radial Velocity,2019,95.9446,14.31,5358,0.8,-0.244,35.0553
HD 52265 b,1,1,Radial Velocity,2000,119.27,384.5743,6136,1.2,0.297,29.9803
HD 5278 b,1,2,Transit,2021,14.339156,7.8,6203,1.13,0.28,57.5846
HD 5278 c,1,2,Radial Velocity,2021,40.87,18.4,6203,1.13,0.28,57.5846
HD 5319 b,1,2,Radial Velocity,2007,637.1,494.54348,4871,1.27,0.15,121.405
HD 5319 c,1,2,Radial Velocity,2014,872.2,334.67499,4871,1.27,0.15,121.405
HD 55696 b,1,1,Radial Velocity,2018,1827,1230.0021,6012,1.29,0.43,77.9693
HD 5583 b,1,1,Radial Velocity,2016,139.35,1837.0574,4830,1.01,1.61,219.216
HD 5608 b,1,1,Radial Velocity,2012,779.9,534.27223,4877,1.53,1.179,58.1105
HD 564 b,1,1,Radial Velocity,2014,492.3,104.88,5902,0.96,0.019,51.1659
HD 5891 b,1,1,Radial Velocity,2011,177.11,2425.0429,4673,1.93,1.595,283.502
HD 59686 A b,2,1,Radial Velocity,2016,299.36,2199.3836,4658,1.9,1.822,89.2721
HD 60292 b,1,1,Radial Velocity,2020,495.4,2065.895,4348,1.7,2.394,315.211
HD 60532 b,1,2,Radial Velocity,2008,201.9,336.8998,6245,1.5,1.001,25.9716
HD 60532 c,1,2,Radial Velocity,2008,600.1,797.7533,6245,1.5,1.001,25.9716
HD 62509 b,1,1,Radial Velocity,2006,589.64,731,4892.63,2,1.612,10.34
HD 63433 b,1,2,Transit,2020,7.10793,5.27,5640,0.99,-0.123,22.4035
HD 63433 c,1,2,Transit,2020,20.5453,7.61,5640,0.99,-0.123,22.4035
HD 63454 b,1,1,Radial Velocity,2005,2.81805,79.4575,4812,0.42,-0.592,37.6894
HD 63765 b,1,1,Radial Velocity,2009,358,168.4499,5449,0.65,-0.256,32.5376
HD 64114 b,1,1,Radial Velocity,2019,45.791,17.8,5676,0.95,-0.137,31.5262
HD 6434 b,1,1,Radial Velocity,2003,21.998,155.7367,5769,1.1,0.05,42.358
HD 65216 b,3,2,Radial Velocity,2003,577.6,411.58985,5612,0.87,-0.15,35.1205
HD 65216 c,3,2,Radial Velocity,2013,5370,645.1949,5612,0.87,-0.15,35.1205
HD 66141 b,1,1,Radial Velocity,2012,480.5,1906.9,4323,1.1,2.24,68.1509
HD 66428 b,1,2,Radial Velocity,2005,2263.12,1018.32732,5773,1.08,0.096,53.2817
HD 66428 c,1,2,Radial Velocity,2021,39000,8581.36699,5647.6,1.05,0.096,53.2817
HD 67087 b,1,2,Radial Velocity,2015,352.2,973,6330,1.36,0.54,76.5217
HD 67087 c,1,2,Radial Velocity,2015,2374,1540,6330,1.36,0.54,76.5217
HD 6718 b,1,1,Radial Velocity,2009,2496,533.9544,5801,1.08,0.053,51.3444
HD 68402 b,1,1,Radial Velocity,2016,1103,975.7381,5950,1.12,0.068,78.4293
HD 68988 b,1,2,Radial Velocity,2001,6.27711,626.1251,5932,1.28,0.222,60.8447
HD 68988 c,1,2,Radial Velocity,2021,16000,4767.4261,5883.41,1.17,0.222,60.8447
HD 69830 b,1,3,Radial Velocity,2006,8.667,10.2,5385,0.86,-0.22,12.5591
HD 69830 c,1,3,Radial Velocity,2006,31.56,11.8,5385,0.86,-0.22,12.5591
HD 69830 d,1,3,Radial Velocity,2006,197,18.1,5385,0.86,-0.22,12.5591
HD 70573 b,1,1,Radial Velocity,2007,851.8,1900,5737,1,-0.001,59.182
HD 70642 b,1,1,Radial Velocity,2003,2124.54,633.43519,5732,1.08,0.012,29.276
HD 7199 b,1,1,Radial Velocity,2011,615,85.8141,5371,0.77,-0.155,36.1531
HD 72490 b,1,1,Transit,2018,858,561.92344,4934,1.21,1.091,126.339
HD 72659 b,1,1,Radial Velocity,2002,3658,1223.6455,5932,1.43,0.374,51.8949
HD 72892 b,1,1,Radial Velocity,2016,39.475,1732.1735,5688,1.02,0.146,69.7311
HD 73267 b,1,1,Radial Velocity,2008,1245.36,984.31951,5387,0.9,-0.106,50.4093
HD 73526 b,1,2,Radial Velocity,2002,188.3,978.9164,5601,1.14,0.338,97.2396
HD 73526 c,1,2,Radial Velocity,2005,379.1,715.09,5633,1.01,0.338,97.2396
HD 73534 b,1,1,Radial Velocity,2008,1750,353.42696,4917,1.16,0.522,83.3321
HD 74156 b,1,2,Radial Velocity,2003,51.645,572.07,6068,1.24,0.401,57.603
HD 74156 c,1,2,Radial Velocity,2003,2473,2561.6,6068,1.24,0.401,57.603
HD 7449 b,2,1,Radial Velocity,2011,1255.5,161.45764,6024,1.05,0.101,38.662
HD 75289 b,2,1,Radial Velocity,1999,3.50927,155.7367,6117,1.29,0.312,29.1158
HD 75784 b,1,2,Radial Velocity,2014,341.2,317.83,4867,1.26,0.756,85.4321
HD 75784 c,1,2,Radial Velocity,2018,7900,1792.5612,4867,1.26,0.77,85.4321
HD 75898 b,1,1,Radial Velocity,2007,422.9,861.3193,5963,1.26,0.46,78.0505
HD 76700 b,1,1,Radial Velocity,2002,3.97097,66.7443,5644,0.99,0.257,60.8831
HD 76920 b,1,1,Radial Velocity,2017,415.4,1249.0719,4698,1.17,1.38,184.031
HD 77338 b,1,1,Radial Velocity,2012,5.7361,15.9,5341,1.37,-0.26,45.935
HD 7924 b,1,3,Radial Velocity,2008,5.39792,6.3566,5131,0.65,-0.406,16.9922
HD 7924 c,1,3,Radial Velocity,2015,15.299,7.86,5075,0.83,-0.414,16.9922
HD 7924 d,1,3,Radial Velocity,2015,24.451,6.44,5075,0.83,-0.414,16.9922
HD 79498 b,2,1,Radial Velocity,2011,1807,425.8922,5748,1.08,0.03,48.9489
HD 80606 b,2,1,Radial Velocity,2001,111.4367,1392.0954,5561,1.15,-0.002,66.4711
HD 80653 b,1,1,Transit,2020,0.719573,5.6,6080,1.18,0.24,109.86
HD 80869 b,1,1,Radial Velocity,2021,1711.7,1544.64606,5837,1.08,0.4,85.3951
HD 81040 b,1,1,Radial Velocity,2005,1001.70001,2310.6241,5755,1.05,-0.076,34.4341
HD 81688 b,1,1,Radial Velocity,2007,184.02,858.1,4753,2.1,1.857,85.7183
HD 81817 b,1,1,Radial Velocity,2020,1047.1,8613.193,4140,4.3,3.261,269.126
HD 82886 b,1,1,Radial Velocity,2011,705,740.5439,4953,2.53,1.143,127.061
HD 82943 b,1,2,Radial Velocity,2003,441.47,534.25,5935,1.08,0.194,27.5902
HD 82943 c,1,2,Radial Velocity,2003,220.078,622.603,5935,1.08,0.194,27.5902
HD 8326 b,1,1,Radial Velocity,2019,158.991,66.6,4914,0.8,-0.492,30.6862
HD 83443 b,1,1,Radial Velocity,2002,2.9857,108.0622,5442,0.79,-0.102,40.8991
HD 8535 b,2,1,Radial Velocity,2010,1313,216.1244,6136,1.13,0.333,55.4401
HD 85390 b,1,1,Radial Velocity,2009,799.52,31.46517,5186,0.76,-0.367,33.5225
HD 85512 b,1,1,Radial Velocity,2011,58.43,3.6,4300,0.43,-0.775,11.281
HD 8574 b,1,1,Radial Velocity,2002,227,645.1949,6064,1.34,0.376,44.8264
HD 86081 b,2,1,Radial Velocity,2006,2.1378431,470.3884,5939,1.21,0.38,103.936
HD 86226 b,1,2,Radial Velocity,2009,1628,143.0235,5863,1.02,0.072,45.683
HD 86226 c,1,2,Transit,2020,3.98442,7.25,5863,1.02,0.072,45.683
HD 86264 b,1,1,Radial Velocity,2009,1475,2224.81,6210,1.42,0.66,67.8107
HD 8673 b,2,1,Radial Velocity,2009,1634,4513,6389.05,1.28,0.53,37.8619
HD 86950 b,1,1,Radial Velocity,2016,1270,1144.188,4805,1.66,1.56,209.839
HD 87646 b,3,1,Radial Velocity,2016,13.481,3941.092,5770,1.12,0.96,73.58352
HD 87883 b,1,1,Radial Velocity,2009,2754,489.4582,4915,0.66,-0.498,18.2912
HD 88133 b,1,1,Radial Velocity,2004,3.414884,324.1866,5392,1.26,0.497,73.6123
HD 89307 b,1,1,Radial Velocity,2009,2166,670.6213,5955,1.27,0.131,32.0104
HD 89345 b,1,1,Transit,2018,11.8143,34.9613,5576,1.16,0.425,132.345
HD 89744 b,2,1,Radial Velocity,1999,256.78,2653.8805,6291,1.86,0.796,38.6364
HD 90156 b,1,1,Radial Velocity,2009,49.77,17.98,5599,0.84,-0.143,21.9496
HD 9174 b,1,1,Radial Velocity,2016,1179,352.7913,5577,1.03,0.382,81.4893
HD 92788 b,1,2,Radial Velocity,2000,325.803,1195.0408,5744,1.15,0.02,34.6538
HD 92788 c,1,2,Radial Velocity,2019,11611.2975,1166.4361,5744,1.15,0.098,34.6538
HD 92987 b,1,1,Radial Velocity,2019,10354.8375,5364.9704,5770,1.08,0.406,43.5339
HD 93083 b,1,1,Radial Velocity,2005,143.58,117.59,4995,0.7,-0.387,28.5159
HD 9446 b,1,2,Radial Velocity,2009,30.052,222.472,5793,1,0.041,50.3503
HD 9446 c,1,2,Radial Velocity,2009,192.9,578.426,5793,1,0.041,50.3503
HD 94834 b,1,1,Radial Velocity,2018,1576,400.4658,4798,1.11,0.993,98.1609
HD 95086 b,1,1,Imaging,2013,,1589,7595,1.6,0.821,86.2279
HD 95089 b,1,2,Radial Velocity,2009,464.4,400.4658,4918,1.54,1.13,136.957
HD 95089 c,1,2,Radial Velocity,2018,1785,1096.5135,4918,1.54,1.125,136.957
