planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
HAT-P-25 b,1,1,Transit,2010,3.65281514,180.84527,5519,1.01,-0.152,300.384
HAT-P-26 b,1,1,Transit,2010,4.23452,22.2481,5079,1.12,-0.359,141.837
HAT-P-27 b,2,1,Transit,2011,3.039577,197.05,5316,0.92,-0.269,199.173
HAT-P-28 b,1,1,Transit,2011,3.257215,198.953,5680,1.02,0.053,401.319
HAT-P-29 b,2,1,Transit,2011,5.72319,279.6904,6087,1.45,0.272,313.576
HAT-P-3 b,2,1,Transit,2007,2.8997,206.5895,5185,1.06,-0.36,134.554
HAT-P-30 b,2,1,Transit,2011,2.8106,263.7989,6304,1.55,0.312,213.985
HAT-P-31 b,1,1,Transit,2011,5.00542,721.4741,6065,1.31,0.433,344.05
HAT-P-32 b,2,1,Transit,2011,2.1500082,216.1244,6001,1.13,0.338,289.205
HAT-P-33 b,2,1,Transit,2011,3.47447,292.4036,6446,1.82,0.618,396.11
HAT-P-34 b,1,1,Transit,2011,5.452654,1058.3739,6442,1.39,0.6,249.325
HAT-P-35 b,3,1,Transit,2011,3.646706,335.62848,6096,1.24,0.383,506.965
HAT-P-36 b,1,1,Transit,2011,1.32734683,587.41341,5620,1.03,0.022,294.419
HAT-P-37 b,1,1,Transit,2011,2.797436,371.528,5500,0.93,-0.208,390.594
HAT-P-38 b,1,1,Transit,2012,4.640382,84.857,5330,0.89,-0.208,255.206
HAT-P-39 b,2,1,Transit,2012,3.54387,190.372,6430,1.4,0.607,697.004
HAT-P-4 b,2,1,Transit,2007,3.056536,213.255,5860,0.56,0.431,320.451
HAT-P-40 b,1,1,Transit,2012,4.45724,152.5584,6080,1.03,0.778,464.469
HAT-P-41 b,2,1,Transit,2012,2.69405,378.2177,6390,2.56,0.628,348.185
HAT-P-42 b,1,1,Transit,2012,4.641878,331.801,5743,1.18,0.356,405.238
HAT-P-43 b,1,1,Transit,2012,3.3326414,210.395,5693,1.03,0.06,528.825
HAT-P-44 b,1,2,Transit,2014,4.301219,111.871,5295,0.94,-0.194,347.85
HAT-P-44 c,1,2,Radial Velocity,2014,872.2,1271.3,5295,0.94,-0.194,347.85
HAT-P-45 b,1,1,Transit,2014,3.128992,283.492,6330,1.26,0.4,298.64
HAT-P-46 b,1,1,Transit,2014,4.463129,156.684,6120,1.28,0.391,290.736
HAT-P-49 b,1,1,Transit,2014,2.69155,699.226,6820,2.22,0.814,350.351
HAT-P-5 b,1,1,Transit,2007,2.78849,311.4734,5960,1.04,0.187,303.336
HAT-P-50 b,1,1,Transit,2015,3.1220109,429.0705,6280,1.27,0.603,515.458
HAT-P-51 b,1,1,Transit,2015,4.2180278,98.20947,5449,0.98,-0.066,440.089
HAT-P-52 b,1,1,Transit,2015,2.7535953,259.98494,5131,0.89,-0.305,361.155
HAT-P-53 b,1,1,Transit,2015,1.9616241,471.65972,5956,1.09,0.217,666.802
HAT-P-54 b,1,1,Transit,2015,3.799847,241.5508,4390,0.65,-0.902,143.651
HAT-P-55 b,1,1,Transit,2015,3.5852467,184.97706,5808,1.01,0.064,511.388
HAT-P-56 b,1,1,Transit,2015,2.79083,734.1873,6566,1.42,0.553,320.639
HAT-P-57 b,3,1,Transit,2015,2.4653,448.1403,6330,2.77,0.806,279.86
HAT-P-58 b,1,1,Transit,2021,4.0138379,118.23217,6078,1.03,0.456,515.59
HAT-P-59 b,1,1,Transit,2021,4.1419771,489.45575,5678,1.01,0.054,265.471
HAT-P-6 b,1,1,Transit,2007,3.85298,419.5356,6570,1.79,0.553,275.358
HAT-P-60 b,1,1,Transit,2021,4.7947813,182.43351,6212,1.44,0.809,233.22
HAT-P-61 b,1,1,Transit,2021,1.90231289,335.94463,5587,1,-0.115,338.84
HAT-P-62 b,1,1,Transit,2021,2.6453235,241.86742,5629,1.02,0.091,348.815
HAT-P-63 b,1,1,Transit,2021,3.377728,195.14664,5400,0.93,-0.146,4483.05
HAT-P-64 b,1,1,Transit,2021,4.007232,184.34048,6457,1.3,0.668,651.897
HAT-P-65 b,1,1,Transit,2016,2.6054552,167.49641,5835,1.21,0.555,738.519
HAT-P-66 b,1,1,Transit,2016,2.972086,248.86089,6002,1.25,0.615,935.456
HAT-P-67 b,2,1,Transit,2017,4.8101025,108.0622,6406,1.64,0.939,371.686
HAT-P-68 b,1,1,Transit,2020,2.29840551,230.10892,4508,0.68,-0.779,202.152
HAT-P-69 b,1,1,Transit,2019,4.7869491,1137.8314,7394,1.65,1,341.263
HAT-P-7 b,2,1,Transit,2008,2.20474,584.8072,6389,1.56,0.814,341.079
HAT-P-70 b,1,1,Transit,2019,2.74432452,2154.8874,8450,1.89,1.223,330.739
HAT-P-8 b,3,1,Transit,2008,3.07634,406.8224,6200,1.27,0.519,211.553
HAT-P-9 b,1,1,Transit,2008,3.92281072,238.05467,6350,1.28,0.418,455.203
HATS-1 b,1,1,Transit,2012,3.446459,589.55,5870,0.99,0.041,283.971
HATS-10 b,1,1,Transit,2015,3.312846,167.17858,5880,1.1,0.117,534.889
HATS-11 b,1,1,Transit,2016,3.619188,263.7989,6563,1.33,0.403,944.603
HATS-12 b,1,1,Transit,2016,3.142702,759.6137,6357,1.16,0.863,746.138
HATS-13 b,1,1,Transit,2015,3.0440499,172.58169,5523,0.96,-0.321,421.855
HATS-14 b,1,1,Transit,2015,2.7667641,340.39593,5346,0.97,-0.173,513.011
HATS-15 b,1,1,Transit,2016,1.74748753,689.6911,5311,0.87,-0.204,1139.55
HATS-16 b,1,1,Transit,2016,2.686502,1039.3041,5738,0.97,0.173,757.044
HATS-17 b,1,1,Transit,2016,16.254611,425.25654,5846,1.13,0.093,400.331
HATS-18 b,1,1,Transit,2016,0.83784,629.14449,5600,1.04,-0.032,624.368
HATS-2 b,1,1,Transit,2013,1.354133,427.463,5227,0.88,-0.268,341.925
HATS-22 b,1,1,Transit,2017,4.7228124,870.8542,4803,0.76,-0.646,229.518
HATS-23 b,1,1,Transit,2017,2.1605156,467.2101,5780,1.12,0.155,639.004
HATS-24 b,1,1,Transit,2017,1.3484978,718.2958,6125,1.07,0.19,494.182
HATS-25 b,1,1,Transit,2016,4.2986432,194.82979,5715,0.99,0.068,471.158
HATS-26 b,1,1,Transit,2016,3.3023881,206.5895,6071,1.3,0.704,861.843
HATS-27 b,1,1,Transit,2016,4.637038,168.4499,6438,1.42,0.669,816.988
HATS-28 b,1,1,Transit,2016,3.1810781,213.58176,5498,0.93,-0.157,535.383
HATS-29 b,1,1,Transit,2016,4.6058749,207.54299,5670,1.03,0.029,353.891
HATS-3 b,1,1,Transit,2013,3.547851,340.382,6351,1.21,0.456,411.211
HATS-30 b,2,1,Transit,2016,3.1743516,224.38798,5943,1.09,0.097,342.14
HATS-31 b,1,1,Transit,2016,3.37796,279.6904,6050,1.27,0.619,773.974
HATS-32 b,1,1,Transit,2016,2.8126548,292.4036,5700,1.1,0.057,745.116
HATS-33 b,1,1,Transit,2016,2.5495551,378.85336,5659,1.06,-0.018,248.46
HATS-34 b,1,1,Transit,2016,2.1061607,299.07803,5380,0.95,-0.14,508.842
HATS-35 b,1,1,Transit,2016,1.8209993,388.38826,6300,1.32,0.465,514.555
HATS-36 b,1,1,Transit,2018,4.175186,1022.14128,5950,1.1,0.215,856.436
HATS-37 A b,2,1,Transit,2020,4.3315366,31.46517,5326,0.84,-0.256,211.896
HATS-38 b,1,1,Transit,2020,4.375021,23.51942,5732,0.89,0.072,343.525
HATS-39 b,1,1,Transit,2018,4.5776348,200.2329,6572,1.38,0.64,878.521
HATS-4 b,1,1,Transit,2014,2.516729,420.471,5403,1,-0.187,416.459
HATS-40 b,1,1,Transit,2018,3.2642736,505.3497,6460,1.56,0.903,1342.29
HATS-41 b,1,1,Transit,2018,4.193649,3082.951,6424,1.5,0.653,737.668
HATS-42 b,1,1,Transit,2018,2.292102,597.5204,6060,1.27,0.425,800.377
HATS-43 b,1,1,Transit,2018,4.3888497,82.95363,5099,0.84,-0.398,362.273
HATS-44 b,1,1,Transit,2018,2.7439004,177.9848,5080,0.86,-0.398,446.035
HATS-45 b,1,1,Transit,2018,4.1876244,222.481,6450,1.27,0.425,772.11
HATS-46 b,1,1,Transit,2018,4.7423729,54.98459,5495,0.92,-0.23,453.808
HATS-47 b,1,1,Transit,2020,3.9228038,117.27927,4512,0.67,-0.796,300.67
HATS-48 A b,2,1,Transit,2020,3.1316666,77.23269,4546,0.73,-0.709,263.609
HATS-49 b,1,1,Transit,2020,4.1480467,112.19399,4405,0.71,-0.785,324.413
HATS-5 b,1,1,Transit,2014,4.763387,75.323,5304,0.94,-0.268,246.384
HATS-50 b,1,1,Transit,2017,3.8297015,123.9537,5990,1.17,0.143,756.742
HATS-51 b,1,1,Transit,2017,3.3488702,244.09344,5758,1.19,0.31,389.57
HATS-52 b,1,1,Transit,2017,1.36665436,711.9392,6010,1.11,0.068,555.134
HATS-53 b,1,1,Transit,2017,3.8537768,189.10885,5644,0.96,0.045,585.77
HATS-54 b,1,1,Transit,2019,2.5441828,241.5508,5702,1.1,0.212,748.585
HATS-55 b,1,1,Transit,2019,4.2042001,292.72143,6214,1.2,0.229,609.838
HATS-56 b,1,1,Transit,2019,4.324799,191.33366,6536,1.57,0.898,564.409
HATS-57 b,1,1,Transit,2019,2.350621,1000.21101,5587,1.03,-0.094,279.485
HATS-58 A b,2,1,Transit,2019,4.2180896,327.3649,7175,1.46,0.689,403.591
HATS-59 b,1,2,Transit,2018,5.416081,256.17098,5670,1.04,-0.004,642.884
HATS-59 c,1,2,Radial Velocity,2018,1422,4036.441,5670,1.04,-0.004,642.884
HATS-6 b,1,1,Transit,2015,3.3252725,101.38777,3724,0.57,-1.1,169.318
HATS-60 b,1,1,Transit,2018,3.560829,210.40346,5688,1.1,0.3,486.474
HATS-61 b,1,1,Transit,2018,7.817953,1080.622,5542,1.08,0.369,679.761
HATS-62 b,1,1,Transit,2018,3.2768837,56.89157,5416,0.9,-0.173,523.067
HATS-63 b,1,1,Transit,2018,3.0566527,305.1168,5627,0.93,0.012,623.232
HATS-64 b,1,1,Transit,2018,4.908897,305.1168,6554,1.56,0.867,1080.15
HATS-65 b,2,1,Transit,2018,3.105161,260.93843,6277,1.26,0.377,493.32
HATS-66 b,1,1,Transit,2018,3.1414391,1694.0339,6626,1.41,0.767,1477.98
HATS-67 b,1,1,Transit,2018,1.6091788,460.8535,6594,1.44,0.547,960.109
HATS-68 b,1,1,Transit,2018,3.5862202,410.0007,6147,1.35,0.592,603.955
HATS-69 b,1,1,Transit,2018,2.2252577,183.38791,5137,0.89,-0.318,414.537
HATS-7 b,1,1,Transit,2015,3.185315,38.1396,4985,0.85,-0.434,240.707
HATS-70 b,1,1,Transit,2019,1.8882378,4100.007,7930,1.78,1.079,1458.83
HATS-71 b,1,1,Transit,2020,3.7955202,117.5971,3405,0.49,-1.56,140.225
HATS-72 b,1,1,Transit,2020,7.3279474,39.85588,4656.1,0.73,-0.659,127.589
HATS-8 b,1,1,Transit,2015,3.583893,43.86054,5679,1.06,-0.025,794.637
HATS-9 b,1,1,Transit,2015,1.915291,266.02371,5599,1.1,0.312,638.7
HD 100546 b,1,1,Imaging,2014,,239000,10500,2.4,1.5,109.677
HD 100655 b,2,1,Radial Velocity,2011,157.57001,511.7063,4891,2.28,1.633,137.178
HD 100777 b,1,1,Radial Velocity,2007,383.70001,327.3649,5533,0.83,0.021,49.5336
HD 10180 c,1,6,Radial Velocity,2010,5.75969,13.1,5911,1.06,0.173,38.9607
HD 10180 d,1,6,Radial Velocity,2010,16.357,11.75,5911,1.06,0.173,38.9607
HD 10180 e,1,6,Radial Velocity,2010,49.748,25.1,5911,1.06,0.173,38.9607
HD 10180 f,1,6,Radial Velocity,2010,122.744,23.9,5911,1.06,0.173,38.9607
HD 10180 g,1,6,Radial Velocity,2010,604.67,21.4,5911,1.06,0.173,38.9607
HD 10180 h,1,6,Radial Velocity,2010,2205,64.4,5911,1.06,0.173,38.9607
HD 101930 b,2,1,Radial Velocity,2005,70.46,79.4575,5108,0.57,-0.31,30.0274
HD 102117 b,1,1,Radial Velocity,2005,20.8133,54.0311,5655,1.06,0.157,39.5792
HD 102195 b,1,1,Radial Velocity,2006,4.11377,130.3103,5301,0.76,-0.334,29.3386
HD 102272 b,1,1,Radial Velocity,2008,127.58,1570.0802,4790,1.45,1.662,347.097
HD 102329 b,1,2,Radial Velocity,2011,778.09998,2593.4928,4745,3.21,1.292,217.107
HD 102329 c,1,2,Radial Velocity,2018,1123,483.1016,4830,1.3,1.585,217.107
HD 102365 b,2,1,Radial Velocity,2010,122.1,16,5630,0.85,-0.057,9.2894
HD 102843 b,1,1,Radial Velocity,2019,3090.942,113.9,5436,0.95,-0.138,62.758
HD 102956 b,2,1,Radial Velocity,2010,6.4947,305.1168,4985,1.66,1.064,121.89
HD 103197 b,1,1,Radial Velocity,2009,47.84,28.6047,5250,0.8,-0.328,57.1463
HD 103720 b,1,1,Radial Velocity,2014,4.5557,197.046,5017,0.79,-0.458,45.5352
HD 103774 b,2,1,Radial Velocity,2013,5.8881,116,6489,1.33,0.544,56.4089
HD 103949 b,1,1,Radial Velocity,2019,120.878,11.2,4792,0.77,-0.569,26.4997
HD 104067 b,1,1,Radial Velocity,2009,55.806,50.8528,4937,0.62,-0.513,20.3632
HD 10442 b,1,1,Radial Velocity,2014,1032.3,472.61321,4912,1.01,0.31,135.374
HD 104985 b,1,1,Radial Velocity,2003,199.505,2637.9,4877,2.3,1.778,100.576
HD 106252 b,1,1,Radial Velocity,2002,1531,2202.5619,5874,1.01,0.128,38.185
HD 106270 b,1,1,Radial Velocity,2011,1888,3219.6179,5509,1.39,0.756,93.808
HD 106315 b,1,2,Transit,2017,9.55237,12.6,6327,1.09,0.395,109.353
HD 106315 c,1,2,Transit,2017,21.05704,15.2,6327,1.09,0.395,109.353
HD 10647 b,1,1,Radial Velocity,2006,989.2,298.75,6218,1.11,0.149,17.3357
HD 106515 A b,2,1,Radial Velocity,2012,3630,3054.22,5362,0.97,0.09,34.0915
HD 106906 b,1,1,Imaging,2013,,3496,6516,1.5,0.75,103.029
HD 10697 b,1,1,Radial Velocity,1999,1075.69,2028.70889,5600,1.13,0.477,33.1205
HD 107148 b,2,2,Radial Velocity,2005,48.056,66.741,5797,1.12,0.121,49.4156
HD 107148 c,2,2,Radial Velocity,2021,18.3267,19.89606,5752.92,1.11,0.121,49.4156
HD 108147 b,1,1,Radial Velocity,2002,10.8985,82.95,6255.73,1.22,0.303,38.92
HD 108236 b,1,5,Transit,2020,3.795963,3.24,5660,0.87,-0.15,64.5978
HD 108236 c,1,5,Transit,2020,6.203449,4.94,5660,0.87,-0.15,64.5978
HD 108236 d,1,5,Transit,2020,14.175685,6.98,5660,0.87,-0.15,64.5978
HD 108236 e,1,5,Transit,2020,19.590025,9.71,5660,0.87,-0.15,64.5978
HD 108236 f,1,5,Transit,2021,29.54115,4.72,5660,0.87,-0.15,64.5978
HD 108341 b,2,1,Radial Velocity,2014,1129,1112.4,5122,0.84,-0.37,48.9102
HD 108863 b,1,1,Radial Velocity,2011,437.7,767.24162,4878,1.59,1.225,164.742
HD 108874 b,1,2,Radial Velocity,2002,394.48123,451.3186,5600,1.1,-0.001,59.5175
HD 108874 c,1,2,Radial Velocity,2005,1624,314.64,5551,0.95,-0.001,59.5175
HD 109246 b,1,1,Radial Velocity,2010,68.27,273.3338,5844,1.2,0.1,67.8349
HD 109271 b,1,2,Radial Velocity,2013,7.8543,17.162,5783,1.05,0.301,55.8716
HD 109271 c,1,2,Radial Velocity,2013,30.93,24.154,5783,1.05,0.301,55.8716
HD 109286 b,1,1,Radial Velocity,2021,520.1,950.30694,5694,0.98,-0.084,55.4156
HD 109749 b,2,1,Radial Velocity,2005,5.239891,85.8141,5824,1.13,0.19,63.0821
HD 110014 b,1,1,Radial Velocity,2009,835.477,3524.59,4445,2.17,2.304,100.758
HD 110082 b,2,1,Transit,2021,10.18271,10.3,6200,1.21,0.281,105.096
HD 110113 b,1,2,Transit,2021,2.541,4.55,5732,1,-0.032,106.307
HD 110113 c,1,2,Radial Velocity,2021,6.744,10.5,5732,1,-0.032,106.307
HD 111232 b,1,1,Radial Velocity,2003,1143,2269.3062,5512,0.84,-0.161,28.9571
HD 111591 b,1,1,Radial Velocity,2017,1056.4,1398.452,4884,1.94,1.581,114.166
HD 111998 b,1,1,Radial Velocity,2016,825.9,1433.4133,6557,1.18,0.512,33.2237
HD 112640 b,1,1,Radial Velocity,2020,613.2,1589.15,4155,1.8,2.453,323.335
HD 113337 b,1,1,Radial Velocity,2013,324,899.42,6576.6,1.4,0.632,36.18
HD 113538 b,1,2,Radial Velocity,2010,663.2,114.41,4462,0.58,-1.046,16.2817
HD 113538 c,1,2,Radial Velocity,2010,1818,295.57,4462,0.58,-1.046,16.2817
HD 113996 b,2,1,Radial Velocity,2017,610.2,2002.329,4181,1.49,2.464,116.334
HD 114386 b,1,1,Radial Velocity,2003,937.70001,362.3262,4836,0.6,-0.54,27.9243
HD 114613 b,1,1,Radial Velocity,2014,4000,113.46531,5641,1.27,0.608,20.2836
HD 114729 b,2,1,Radial Velocity,2002,1121.79,262.20975,5844,0.94,0.421,37.8063
HD 114762 b,2,1,Radial Velocity,1989,83.9151,3397.6027,5869,0.8,0.221,40.1949
HD 114783 b,1,2,Radial Velocity,2001,493.7,349.6,5135,0.85,-0.372,21.0628
HD 114783 c,1,2,Radial Velocity,2018,4319,194.19413,5126.74,0.85,-0.373,21.0628
HD 11506 b,1,2,Radial Velocity,2007,1622.1,1535.1189,6030,1.24,0.33,51.261
HD 11506 c,1,2,Radial Velocity,2008,223.41,129.67464,6030,1.24,0.33,51.261
HD 115954 b,1,1,Radial Velocity,2021,3700,2634.79749,5957,1.18,0.481,87.6437
HD 116029 b,2,2,Radial Velocity,2011,670,444.962,4819,0.83,1.053,123.245
HD 116029 c,2,2,Radial Velocity,2018,907,403.6441,4951,1.33,1.063,123.245
HD 117207 b,1,1,Radial Velocity,2004,2621.75,612.14058,5732,1.05,0.066,32.3547
HD 11755 b,1,1,Radial Velocity,2015,433.70001,1789.3829,4312,0.72,2.169,235.045
HD 117618 b,1,1,Radial Velocity,2004,25.8,55.30242,5990,1.08,0.213,37.7781
HD 118203 b,1,1,Radial Velocity,2005,6.1335,886.7457,5864,1.84,0.646,92.2589
HD 11964 b,2,2,Radial Velocity,2005,1945,198,5303,0.91,0.459,33.5369
HD 11964 c,2,2,Radial Velocity,2008,37.91,25,5303,0.91,0.459,33.5369
HD 11977 b,1,1,Radial Velocity,2005,711,2080,4970,1.91,1.839,67.9331
HD 120084 b,1,1,Radial Velocity,2013,2082,1430.2,4892,2.39,1.64,103.044
HD 121504 b,1,1,Radial Velocity,2003,63.33,479.9233,6027,1.62,0.19,41.6592
HD 124330 b,1,1,Radial Velocity,2021,270.66,238.37131,5873,1.15,0.338,60.1977
HD 12484 b,1,1,Radial Velocity,2016,58.83,947.1334,5920,1.01,0.022,48.3367
HD 125390 b,1,1,Radial Velocity,2019,1756.2,7043.1128,4850,1.36,1.124,153.647
HD 125595 b,1,1,Radial Velocity,2009,9.6737,6.3566,4691,0.29,-0.617,28.1989
HD 125612 b,2,3,Radial Velocity,2007,557.04,985.273,5841,1.11,0.06,57.6207
HD 125612 c,2,3,Radial Velocity,2009,4.15514,17.48065,5841,1.11,0.06,57.6207
HD 125612 d,2,3,Radial Velocity,2009,2835,2313.8024,5841,1.11,0.06,57.6207
HD 12648 b,1,1,Radial Velocity,2015,133.60001,622.9468,4835,0.67,1.753,182.192
HD 126525 b,1,1,Radial Velocity,2018,960.41,75.32571,5638,0.9,-0.04,37.6506
HD 12661 b,1,2,Radial Velocity,2000,262.70862,772.3269,5645,1.2,0.133,37.8478
HD 12661 c,1,2,Radial Velocity,2002,1708,575.884,5748,1.02,0.063,37.8478
HD 126614 b,3,1,Radial Velocity,2009,1244,130.3103,5568,1.26,0.083,73.0961
HD 128311 b,1,2,Radial Velocity,2002,453.019,562.24127,4965,0.83,-0.512,16.3292
HD 128311 c,1,2,Radial Velocity,2005,921.538,1204.25787,4965,0.83,-0.512,16.3292
HD 128356 b,1,1,Radial Velocity,2016,298.2,282.8687,4875,0.65,-0.444,26.1548
HD 129445 b,1,1,Radial Velocity,2009,1840,508.507,5605,0.99,0.09,67.4386
HD 130322 b,1,1,Radial Velocity,1999,10.70871,365.49,5387,0.92,-0.235,31.8766
HD 131496 b,1,1,Radial Velocity,2011,896,572.094,4846,1.34,0.991,131.849
HD 131664 b,1,1,Radial Velocity,2008,1951,6076.9096,5892,1.19,0.164,52.8128
HD 13167 b,1,1,Radial Velocity,2018,2613,1052.0173,5671,1.35,0.96,148.934
HD 13189 b,1,1,Radial Velocity,2005,471.60001,3480.2385,4175,2.24,2.636,497.823
HD 132406 b,1,1,Radial Velocity,2007,974,1709.9254,5783,1.03,0.26,70.7832
HD 132563 b,3,1,Radial Velocity,2011,1544,473.547,6289,1.23,0.374,105.155
HD 133131 A b,2,3,Radial Velocity,2016,649,451.3186,5799,0.95,-0.017,51.4736
HD 133131 A c,2,3,Radial Velocity,2016,3568,133.4886,5799,0.95,-0.017,51.4736
HD 133131 B b,2,3,Radial Velocity,2016,5769,794.575,5805,0.93,-0.009,51.2993
HD 134060 b,1,2,Radial Velocity,2019,3.2696,10.1,5966,1.09,0.158,24.0125
HD 134060 c,1,2,Radial Velocity,2019,1291.5646,29.29,5966,1.09,0.158,24.0125
HD 134987 b,1,2,Radial Velocity,1999,258.17999,511.7063,5736,1.1,0.255,26.1804
HD 134987 c,1,2,Radial Velocity,2009,5000,260,5585,1.1,0.255,26.1804
HD 136352 b,1,3,Radial Velocity,2019,11.57797,4.72,5664,0.87,0.016,14.682
HD 136352 c,1,3,Radial Velocity,2019,27.59221,11.24,5664,0.87,0.016,14.682
HD 136352 d,1,3,Radial Velocity,2019,107.245,8.82,5664,0.87,0.016,14.682
HD 136418 b,1,1,Radial Velocity,2009,464.29999,680.1562,4989,1.48,0.833,105.168
HD 136925 b,1,1,Radial Velocity,2021,4540,266.97586,5773.19,0.88,0.134,47.874
HD 137388 b,1,1,Radial Velocity,2011,330,63.566,5181,0.68,-0.337,40.4841
HD 13808 b,1,2,Radial Velocity,2021,14.1815,11.2,5035,0.77,-0.435,28.2305
HD 13808 c,1,2,Radial Velocity,2021,53.753,9.96,5035,0.77,-0.435,28.2305
HD 13908 b,1,2,Radial Velocity,2013,19.382,274.91,6255,1.29,0.602,79.5515
HD 13908 c,1,2,Radial Velocity,2013,931,1630.4,6255,1.29,0.602,79.5515
HD 13931 b,1,1,Radial Velocity,2009,4218,699.226,5867,1.3,0.196,47.3963
HD 139357 b,1,1,Radial Velocity,2008,1125.7,3101.89,4700,1.35,1.823,112.09
HD 1397 b,1,1,Transit,2018,11.53533,131.89945,5521,1.32,0.66,79.5702
HD 14067 b,1,1,Radial Velocity,2014,1455,2479,4815,2.4,1.898,142.024
HD 141004 b,1,1,Radial Velocity,2021,15.5083,13.63484,5885.38,1.05,0.346,11.8148
HD 141399 b,1,4,Radial Velocity,2014,94.44,143.34133,5600,1.07,0.201,37.0169
HD 141399 c,1,4,Radial Velocity,2014,201.99,422.7139,5600,1.07,0.201,37.0169
HD 141399 d,1,4,Radial Velocity,2014,1069.8,375.0394,5600,1.07,0.201,37.0169
HD 141399 e,1,4,Radial Velocity,2014,5000,209.7678,5600,1.07,0.201,37.0169
HD 141937 b,1,1,Radial Velocity,2002,653.21997,3079.7727,5870,1.09,0.022,33.3622
HD 142 b,2,2,Radial Velocity,2001,349.7,397.27,6245,1.23,0.474,26.1853
HD 142 c,2,2,Radial Velocity,2012,6005,1684.4,6245,1.23,0.474,26.1853
HD 142022 A b,2,1,Radial Velocity,2005,1928,1411.1652,5421,0.9,0.004,34.2802
HD 142245 b,3,1,Radial Velocity,2011,1299,975.7381,4922,3.5,1.13,97.2305
HD 142415 b,1,1,Radial Velocity,2003,386.29999,530.7761,5940,1.07,0.06,35.5318
HD 143105 b,1,1,Radial Velocity,2016,2.1974,384.5743,6380,1.51,0.556,46.7789
HD 143361 b,1,1,Radial Velocity,2008,1039.15,1122.57556,5507,0.97,-0.092,68.5146
HD 145377 b,1,1,Radial Velocity,2008,103.95,1913.3366,6014,1.2,0.193,53.4884
HD 145457 b,1,1,Radial Velocity,2010,176.3,708.7609,4769,1.23,1.655,135.292
HD 145675 c,1,2,Radial Velocity,2021,25000,1843.40476,5314.94,0.97,-0.151,17.9323
HD 145934 b,1,1,Radial Velocity,2015,2730,724.62,4823.75,1.75,1.355,227.881
HD 1461 b,1,2,Radial Velocity,2010,5.77152,6.44,5765,1.02,0.095,23.4534
HD 1461 c,1,2,Radial Velocity,2015,13.5052,5.59,5765,1.02,0.097,23.4534
HD 147018 b,1,2,Radial Velocity,2009,44.236,674,5441,0.93,-0.148,40.4256
HD 147018 c,1,2,Radial Velocity,2009,1008,2080,5441,0.93,-0.148,40.4256
HD 147379 b,2,1,Radial Velocity,2017,86.78,28.55,4156,0.6,-0.971,10.7643
HD 147513 b,2,1,Radial Velocity,2003,528.4,385,5883,1.11,-0.01,12.9032
HD 14787 b,1,1,Radial Velocity,2018,676.6,356.28743,4946,1.43,1.115,119.137
HD 147873 b,2,2,Radial Velocity,2016,116.596,1633.6462,5972,1.38,0.777,109.055
HD 147873 c,2,2,Radial Velocity,2016,491.54,731.009,5972,1.38,0.777,109.055
HD 148156 b,1,1,Radial Velocity,2009,1027,270.144,6308,1.22,0.25,57.1289
HD 148164 b,1,2,Radial Velocity,2018,328.55,390.9309,6032,1.21,0.33,77.1971
HD 148164 c,1,2,Radial Velocity,2018,5062,1640.0028,6032,1.21,0.33,77.1971
HD 148427 b,1,1,Radial Velocity,2009,331.5,413.179,5025,1.64,0.78,71.3499
HD 149026 b,1,1,Radial Velocity,2005,2.87589,120.7754,6179,1.42,0.48,75.8643
HD 149143 b,1,1,Radial Velocity,2005,4.07182,422.7139,5856,1.2,0.35,73.2801
HD 1502 b,1,1,Radial Velocity,2011,428.5,874.0325,4947,1.46,1.064,190.953
HD 150706 b,1,1,Radial Velocity,2012,5894,861.28,5961,1.17,0.032,28.2697
HD 152079 b,1,1,Radial Velocity,2009,2918.92,845.74563,5907,1.15,0.107,87.8888
HD 152581 b,1,1,Radial Velocity,2011,686.5,594.02427,5027,1.3,1.173,165.76
HD 152843 b,1,2,Transit,2021,11.6264,11.56,6310,1.15,0.45,107.898
HD 152843 c,1,2,Transit,2021,24.38,27.5,6310,1.15,0.45,107.898
HD 15337 b,1,2,Transit,2019,4.75615,7.51,5125,0.9,-0.326,44.8155
HD 15337 c,1,2,Transit,2019,17.1784,8.11,5125,0.9,-0.326,44.8155
HD 153950 b,1,1,Radial Velocity,2008,499.39999,937.5985,6124,1.25,0.346,48.4549
HD 154345 b,1,1,Radial Velocity,2006,3341.55884,260.6206,5468,0.71,-0.219,18.284
HD 154672 b,1,1,Radial Velocity,2008,163.94,1706.7471,5743,1.18,0.257,63.0484
HD 154857 b,1,2,Radial Velocity,2004,408.60001,778.6835,5589,1.96,0.663,63.4482
HD 154857 c,1,2,Radial Velocity,2014,3452,819.97,5605,1.72,0.665,63.4482
HD 155193 b,1,1,Radial Velocity,2021,352.65,238.37131,6239,1.22,0.641,57.7995
HD 155233 b,2,1,Radial Velocity,2015,818.8,826.358,4960,1.69,1.129,74.2309
HD 155358 b,1,2,Radial Velocity,2007,194.3,314.6517,5905,1.15,0.299,43.6197
HD 155358 c,1,2,Radial Velocity,2007,391.9,261,5900,0.92,0.299,43.6197
